Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-190|-450|-700|-750
Charles Leclerc|400|-190|-650|-700
Lewis Hamilton|850|-105|-550|-700
Carlos Sainz Jr.|1000|125|-550|-700
Sergio Perez|1200|-175|-550|-600
George Russell|1400|135|-550|-700
Lando Norris|20000|850|120|-400
Fernando Alonso|20000|2200|125|-330
Pierre Gasly|50000|4000|800|130
Esteban Ocon|50000|3500|275|-300
Daniel Ricciardo|50000|3500|550|150
Valtteri Bottas|90000|15000|1400|150
Sebastian Vettel|90000|4000|1000|125
Lance Stroll|90000|15000|1600|165
Kevin Magnussen|90000|20000|2200|225
Yuki Tsunoda|90000|20000|2000|275
Alex Albon|90000|10000|1600|275
Nicholas Latifi|90000|30000|10000|1800
Mick Schumacher|900000|25000|2800|275
Guanyu Zhou|90000|25000|2500|225
