Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-225|-400|-600|-750
Charles Leclerc|650|-110|-550|-700
Lewis Hamilton|750|-105|-550|-700
Sergio Perez|850|-120|-550|-700
Carlos Sainz Jr.|1600|120|-500|-600
George Russell|1700|135|-550|-700
Lando Norris|20000|1400|-105|-360
Fernando Alonso|20000|2000|135|-300
Esteban Ocon|25000|2000|260|-300
Kevin Magnussen|50000|10000|2000|280
Pierre Gasly|50000|8000|1200|140
Sebastian Vettel|50000|4000|850|-120
Valtteri Bottas|50000|10000|1200|150
Daniel Ricciardo|50000|5000|400|110
Lance Stroll|90000|10000|1800|165
Zhou Guanyu|90000|15000|2800|275
Mick Schumacher|90000|13000|2500|400
Nicholas Latifi|90000|25000|10000|1200
Yuki Tsunoda|90000|10000|1800|225
Alex Albon|90000|13000|3500|350
